country,year,S_proxy,N_proxy,R_proxy,Crisis,_N_stability,N_noise,_S,_N_raw,_N,_R,E
CAN,2012,1.75697004795074,1.11301624774933,83.0,0.0242160884377375,1.0,0.0,1.0,0.0,1e-09,0.9649214386386177,1.5
CAN,2013,1.78074109554291,1.06142175197601,85.8,0.0530854051092377,1.0,0.0,1.0,0.0,1e-09,0.9458911612889985,1.5
CAN,2014,1.75371766090393,1.17550384998322,87.12,0.0046682046410664,1.0,0.0,0.9882802378019264,0.0,1e-09,0.9461257491063048,1.5
CAN,2015,1.7309353351593,1.26233685016632,90.0,0.043737931952861,1.0,0.0,0.995074012155089,0.0,1e-09,0.9740503906050626,1.5
CAN,2016,1.7445410490036,1.24041163921356,91.16,0.0285620226494574,1.0,0.0,0.9911383816909588,0.0,1e-09,0.9521172001654471,1.5
CAN,2017,1.81557297706604,1.08968114852905,92.7014,0.020155793573515,0.9973828132234767,0.002617186776523339,1.0,0.00120120118229809,0.00120120118229809,1.0,1.5
CAN,2018,1.67513394355774,0.963971078395844,94.64,0.0134112836240519,0.9787617934854781,0.021238206514521907,1.0,0.012782181413575355,0.012782181413575355,1.0,1.5
CAN,2019,1.69731068611145,0.994933545589447,91.9129,0.0025365487942019,0.993630016900094,0.006369983099905996,1.0,0.0029105539996998843,0.0029105539996998843,0.9727941487266655,1.5
CAN,2020,1.59831285476685,1.01318228244781,92.3,0.0641500183846096,0.996694493002217,0.003305506997782981,1.0,0.0015275344986132758,0.0015275344986132758,0.9332314293895205,1.5
CAN,2021,1.5614572763443,0.962336957454681,93.9371,0.0697596592637665,0.9860382275202011,0.013961772479798906,1.0,0.0063713710402348986,0.0063713710402348986,0.8827272747409014,1.5
CAN,2022,1.56661772727966,0.780681550502777,94.0,0.2401400576708045,0.8772365161503771,0.12276348384962288,0.9893325484023766,0.12232766561251157,0.12232766561251157,0.9121527712336038,1.5
CAN,2023,1.51680326461792,0.822420537471771,93.9564,0.0939500798942134,0.9392064614413884,0.06079353855861158,0.9588759009362372,0.0602772670492753,0.0602772670492753,0.8375928779420666,1.5
CAN,2024,,,,0.0190791916405854,0.5,0.5,0.5,0.5,0.5,,
CHN,1996,-0.348653882741928,-0.0978488251566887,0.0131,0.315658014446954,0.40264556601841,0.5973544339815899,0.020876357146068357,0.6057968849603237,0.6057968849603237,0.0,0.0
CHN,1997,,,0.0324,0.0393232527659409,0.5,0.5,0.5,0.5,0.5,0.0,0.0
CHN,1998,-0.198783293366432,-0.394105225801468,0.169,0.1386593005774657,0.3127133671918468,0.6872866328081533,0.0922874731742496,0.6951267318246646,0.6951267318246646,0.0004461408813760963,5.9231234733061435e-05
CHN,1999,,,0.708,0.1700736341382325,0.5,0.5,0.5,0.5,0.5,0.005184366123511068,0.005184366123511068
CHN,2000,-0.158842876553535,-0.20991687476635,1.77591,0.0826094386567708,0.38068510888133295,0.619314891118667,0.11084340457016335,0.6414092016343864,0.6414092016343864,0.011805187620525627,0.002040081720240876
CHN,2001,,,2.63965,0.0640437195439941,0.5,0.5,0.5,0.5,0.5,0.01639861625210954,0.01639861625210954
CHN,2002,-0.123097203671932,-0.327627182006836,4.5957,0.1365985451175124,0.2869413999621868,0.7130586000378132,0.07186939844969906,0.754564005106434,0.754564005106434,0.030731162370638606,0.002927028241860396
CHN,2003,-0.147587299346924,-0.56535792350769,6.2,0.0436198256351815,0.3244319268747326,0.6755680731252673,0.07367655377738419,0.697795219051821,0.697795219051821,0.03726062259733084,0.003934154590943379
CHN,2004,-0.109930388629436,-0.39068067073822,7.3,0.09123187155408,0.42111843153800754,0.5788815684619925,0.09169315624661208,0.5893417792397868,0.5893417792397868,0.04353476240793799,0.006773386704026667
CHN,2005,-0.140640497207642,-0.501756608486176,8.52326,0.011179296166215,0.30045699912351237,0.6995430008764876,0.08548053985148828,0.7162752319085005,0.7162752319085005,0.0507970251521305,0.006062134971893633
CHN,2006,0.0357880145311356,-0.540030121803284,10.5232,0.0175284502720699,0.21310772399041578,0.7868922760095842,0.20838738427403486,0.7994177414614145,0.7994177414614145,0.07597540543702651,0.01980480940945619
CHN,2007,0.165997371077538,-0.500553727149963,16.0,0.140838383689417,0.24652254331248755,0.7534774566875124,0.24010776700400469,0.7814807491937017,0.7814807491937017,0.1420232074221933,0.04363623189959988
CHN,2008,0.165779024362564,-0.49308842420578,22.6,0.196262568520546,0.21975119497589646,0.7802488050241035,0.21185181282345392,0.8163273670377489,0.8163273670377489,0.22345880840599153,0.0579916288044635
CHN,2009,0.0932420492172241,-0.451781332492828,28.9,0.1364082625466451,0.31618281544915894,0.6838171845508411,0.19744304345211558,0.7098349904174461,0.7098349904174461,0.28522369292754485,0.07933595096960157
CHN,2010,0.0918448567390442,-0.65706068277359,34.3,0.0587662376345995,0.21499232893519288,0.7850076710648071,0.19650175795114427,0.8193449838896888,0.8193449838896888,0.265443654062149,0.06366078475585099
CHN,2011,0.0836087092757225,-0.602054834365845,38.3,0.1776949461287455,0.2497770085102373,0.7502229914897627,0.21044452189257024,0.7771565827367369,0.7771565827367369,0.24788024188247665,0.06712294555348758
CHN,2012,0.0153677640482783,-0.538782060146332,42.3001,0.0309762163227695,0.2361650084264485,0.7638349915735515,0.17160012032384578,0.8064465755224611,0.8064465755224611,0.2567399210036366,0.05463052689834583
CHN,2013,-0.0051206895150244,-0.543789923191071,45.8,0.0310525008740595,0.20681475826172763,0.7931852417382723,0.14337566249957615,0.844032354353442,0.844032354353442,0.2589071131444694,0.043980516483135265
CHN,2014,0.354851633310318,-0.522584021091461,47.9,0.003917918605739,0.21574998992688016,0.7842500100731198,0.28353693798206164,0.7856817245064615,0.7856817245064615,0.2677518573339231,0.09662633022953307
CHN,2015,0.417423009872437,-0.552559673786163,50.3,0.028148809532172,0.20447558360624854,0.7955244163937515,0.34827013555627717,0.7978066667453456,0.7978066667453456,0.27892544890056886,0.12176058178980277
CHN,2016,0.356383770704269,-0.502221345901489,53.2,9.109597101097933e-08,0.21692376476515432,0.7830762352348457,0.3125583627586763,0.778808862685567,0.778808862685567,0.28865012502491716,0.11584358474911241
CHN,2017,0.416875630617142,-0.232558101415634,54.3,0.0203431999642835,0.26126969447649817,0.7387303055235018,0.34050199725791225,0.751981862544529,0.751981862544529,0.30022063305803404,0.1359417431005419
CHN,2018,0.496678441762924,-0.298572480678558,59.2,0.0037395199827874,0.25569911242872334,0.7443008875712767,0.405322425244984,0.7940681436449037,0.7940681436449037,0.3460333741449007,0.17662852684194347
CHN,2019,0.544862508773804,-0.259780675172806,64.0809,0.0449617081791144,0.279723807715881,0.720276192284119,0.3728232670852959,0.727790402349117,0.727790402349117,0.3487037713271147,0.17862955990009913
CHN,2020,0.643971681594849,-0.474127858877182,70.0528,0.020971094728889,0.15389612864874663,0.8461038713512534,0.4929999357028298,0.8670216446394815,0.8670216446394815,0.32684481594804,0.18584827062095857
CHN,2021,0.80791163444519,-0.516462862491608,73.0532,0.0509492432227553,0.12303303352523727,0.8769669664747627,0.6192925017118813,0.8815430122002594,0.8815430122002594,0.0,0.0
