country,year,S_proxy,N_proxy,R_proxy,Crisis
BRA,2007,-0.290289968252182,-0.3579480946064,30.88,0.0820636495513265
BRA,2008,-0.148200899362564,-0.313424706459045,33.83,0.18392969514208352
BRA,2009,-0.151303574442863,0.163664221763611,39.22,0.1444017399383995
BRA,2010,-0.0868625491857529,0.0134759107604623,40.65,0.1519363450540375
BRA,2011,-0.152404069900513,-0.132575422525406,45.69,0.23182248110654302
BRA,2012,-0.16054867208004,0.0459616407752037,48.56,0.1701749570185025
BRA,2013,-0.119030974805355,-0.258553296327591,51.04,0.210215533320048
BRA,2014,-0.175920635461807,-0.070290133357048,54.551,0.2164520077580705
BRA,2015,-0.255271553993225,-0.331864446401596,58.328,0.3514950512080685
BRA,2016,-0.249387070536613,-0.381035059690475,60.8725,0.336957176164696
BRA,2017,-0.317140609025955,-0.479947566986084,67.4713,0.072318667516334
BRA,2018,-0.520569622516632,-0.459598511457443,70.4343,0.08324251418836351
BRA,2019,-0.234114676713943,-0.714224636554718,73.9124,0.086648810608449
BRA,2020,-0.465709209442139,-0.44689092040062,81.3427,0.0605884019016865
BRA,2021,-0.492990374565125,-0.419879764318466,80.6899,0.3150829877928385
BRA,2022,-0.588259339332581,-0.395036935806274,80.5278,0.36400530447843604
BRA,2023,-0.546764314174652,-0.408567786216736,84.1506,0.12967814114160153
BRA,2024,,,84.4635,0.11837320382616752
CAN,1996,1.74236369132996,1.23405170440674,6.76,0.0214734437464305
CAN,1997,,,15.1,0.018939180957735002
CAN,1998,1.87730169296265,0.950881242752075,24.9,0.0502028771670987
CAN,1999,,,36.2,0.013257852447040497
CAN,2000,1.84907865524292,1.16752684116364,51.3,0.035971997845987994
CAN,2001,,,60.2,0.026256006989953007
CAN,2002,1.86085593700409,1.21803176403046,61.5933,0.012919720470427509
CAN,2003,1.92467999458313,1.05307674407959,64.2,0.037928160680056
CAN,2004,1.90069770812988,0.87644749879837,65.956,0.0071370640713720014
CAN,2005,1.88245940208435,0.828725039958954,71.66,0.01067760171988399
CAN,2006,1.89211332798004,1.03495657444,72.4,0.00010126976708100255
CAN,2007,1.75481534004211,1.00701069831848,73.2,0.006919199633418494
CAN,2008,1.78248238563538,1.0413726568222,76.7,0.01851353372214899
CAN,2009,1.74208331108093,1.12707591056824,80.3,0.08502665984953475
CAN,2010,1.77782678604126,0.936318218708038,80.3,0.011156422953686495
CAN,2011,1.77254545688629,1.07717573642731,83.0,0.0456067544361735
CAN,2012,1.75697004795074,1.11301624774933,83.0,0.024216088437737503
CAN,2013,1.78074109554291,1.06142175197601,85.8,0.053085405109237746
CAN,2014,1.75371766090393,1.17550384998322,87.12,0.004668204641066498
CAN,2015,1.7309353351593,1.26233685016632,90.0,0.043737931952861
CAN,2016,1.7445410490036,1.24041163921356,91.16,0.028562022649457498
CAN,2017,1.81557297706604,1.08968114852905,92.7014,0.020155793573515
CAN,2018,1.67513394355774,0.963971078395844,94.64,0.013411283624051995
CAN,2019,1.69731068611145,0.994933545589447,91.9129,0.002536548794201998
CAN,2020,1.59831285476685,1.01318228244781,92.3,0.06415001838460965
CAN,2021,1.5614572763443,0.962336957454681,93.9371,0.06975965926376651
CAN,2022,1.56661772727966,0.780681550502777,94.0,0.2401400576708045
CAN,2023,1.51680326461792,0.822420537471771,93.9564,0.09395007989421349
